x,y
532.482703976791,181.269310017607
524.82040113502,189.902529618641
526.944049862117,189.657622757111
521.558119818091,189.734194165457
522.6094440352119,189.700419623094
523.148274143048,189.160310795177
526.353017935705,188.50769335500402
523.576462449026,188.62503221367098
525.1588686802021,188.671718991879
521.790988440896,188.097114766077
524.289393819275,188.205271600081
525.1744128905519,187.210612269565
523.330598503268,187.125602862115
524.084631334314,186.76930021111198
524.7123522703951,186.135618547658
520.666076282842,189.15651488665
520.391103721962,187.860628487785
520.021817161473,186.70108482247
521.3079939358851,186.729285863078
522.480570478732,186.44900505247
521.367200466946,185.74160056646897
523.476842282154,185.579707767978
522.687716711252,185.288842368031
520.61890727192,184.95002580866
522.920424269581,184.585863134222
524.052739143548,184.647698800342
522.308415231394,184.323292745875
521.454766243759,184.324777595458
520.089813015538,183.435281828945
524.908404152823,183.896793719866
523.507505929767,183.92583161292902
521.7668194080779,183.391838599787
524.171375677758,183.32234359221
522.933804806324,183.203078529887
525.171431386572,183.118703388598
535.926886928031,170.68339290665398
534.344372070967,170.694228965494
537.164590190564,170.313628987726
527.912725759211,186.726436978886
526.612694162338,186.335343937174
528.884747073432,185.690045334834
525.825291606651,185.771051781964
524.797818459546,185.450561311753
527.754022712792,185.353544085244
528.505667194342,185.06869205972401
526.757640068321,185.085627708013
529.332504158713,184.940832372423
525.575121273578,184.916509470091
527.089711008987,184.76540508142202
528.137312546654,184.603298181315
524.926117842181,184.635243337173
527.373229667855,184.462073906635
529.6757221169739,184.479315327996
525.80351116242,184.326608866589
526.923522588121,184.047219387857
528.206166720586,183.99932710263
529.358079471529,183.919018557839
525.77001320832,183.785115443391
528.7928389923841,183.203771177605
529.8901274677839,183.329505253701
529.192767599538,182.752294810168
530.6218781312721,182.671117958641
530.235016515516,182.475977496932
529.550424843953,182.038357623277
531.012488169571,181.97494521768797
530.3671495702911,181.625483058166
533.140769784067,170.24952999786402
531.8703069001041,170.26327874297598
520.555720876307,182.146418189352
521.2685600428911,180.601519889973
520.204787478089,180.382541434566
521.011232051581,179.49538811105802
539.930590475556,177.619128196295
533.931256102205,187.87431741107
532.379885125095,187.51280276677699
533.029527120047,187.456192680914
534.075848557228,187.45670759745502
534.0633143468431,186.770691278734
531.990920886752,186.778578843369
532.8094346237359,186.60211417834998
533.4983307499369,186.45974638767902
534.5122196198331,185.979975129741
535.241624942655,186.015400862157
532.850524845261,185.83876684991702
