x,y
532.794506662389,179.627848870953
520.5421494413989,186.592065240178
521.423823336608,185.26955082332103
526.0188754761009,189.12178268542198
521.175622320088,189.449810739387
524.430181585538,189.663837241244
525.77515839477,188.294841041517
523.363977441981,189.38690779171
527.295981966691,187.10135824106902
522.093406370993,188.778140380707
523.898403233558,188.13533367418802
525.7457466842931,186.923192581951
520.90657139313,188.102943253317
524.7137040927449,186.712945561006
528.114070999677,185.97352444146398
522.562431383138,187.541992748354
524.3878678388701,185.94984319658002
526.1667025188631,185.19518758407898
527.640968823277,184.789995722522
522.628480859755,186.18081844883298
526.961480945833,183.754060197602
528.391244440318,183.854651276987
527.5359581666099,182.89088985527198
529.978813062573,182.360070896981
529.2540139249691,181.506804262753
528.392782570533,180.83588818706
531.0755345335821,180.481917400569
529.9186582299419,180.094834155973
536.067482003313,189.653535067263
531.7212863214049,189.870303978532
533.311171679943,189.480688023275
534.710440285485,189.19663958357498
537.096916749794,188.168550787858
538.498723055226,188.39427331476801
533.347770516639,188.17139080935002
534.951224880734,187.759493256233
539.7991895845171,187.455642247661
536.5472565886281,187.01496286705
538.011846147886,186.33333742845
539.084607659023,186.484460799795
536.219819988752,185.750541514356
534.9120539764871,185.447824220211
539.671712875108,185.107397895798
537.9081736878071,184.94057783613601
535.961015859292,184.370094105092
534.393434296811,184.086566118154
532.9853967892981,182.880814771759
533.7070096612999,181.855848101763
520.023603985204,177.039220099887
521.045655774262,175.507614297158
522.027222301104,174.526543772536
522.576431586563,173.258442789624
521.227811586714,172.937844367021
523.3603168904381,172.81096230025798
520.104536754792,171.88774662990198
522.167948090475,171.839085135565
529.772204708599,189.613516381495
531.1568226277469,188.73715511772
529.1348275440231,188.812776055311
527.219315795776,189.251806418458
531.8368356282609,187.63438362335398
528.231454070215,188.00061712706298
529.851578666295,187.425346658488
533.7951949968809,186.763974153097
530.91146697075,186.753494471977
533.2243268728081,186.029084431305
529.3500376722831,186.175985322534
531.954534587922,185.64344140868
530.5282173911571,185.271662453159
532.552347861507,184.365434066361
529.7443274005949,184.240383750751
531.607073569452,183.534696660391
530.6347738344,183.071395769266
531.9538154392151,181.137828634739
532.8190310774779,181.027281708118
520.233558565482,181.906581962465
521.688034405137,180.093195299109
520.394417522151,180.28035644879202
522.875096780501,179.207274173399
520.797113476865,178.73583272590102
524.5901182145541,178.713871478448
522.03476522942,178.229051249281
526.751381201191,178.428688103264
523.717808365977,177.57927227961198
526.1986447568421,177.641215024604
521.861348687805,176.89592417740002
525.152369149412,177.248341573073
523.184463926417,175.839478702808
526.7591886686121,175.871081582427
525.747822809021,175.759713360783
524.3070859954211,175.607136436544
524.450465652617,174.436719045638
531.2904368470901,177.50896391262202
531.1933608726281,176.327515409123
530.646295824733,175.126081305197
532.390522562869,174.32306720381
530.047434027889,174.112784245019
532.256447077929,173.52897769451602
529.588260990992,173.32319764551102
533.926234235208,172.06117922758298
531.284964918523,172.348131284136
533.092578932666,171.643424585985
529.378575213314,172.347706828626
528.302856796772,171.96233366332402
534.986333970877,170.636322232093
531.160129745277,171.01434388700298
532.917054983619,170.51704871536
529.684800443222,170.899505334176
528.939540321308,170.39246709608003
539.674678256894,173.647508610132
539.7443005516681,172.253800233443
539.957408515406,170.98367142515698
539.963427404624,176.892821861829
532.656278025224,179.199703231351
534.93884079059,177.933548898297
536.8368457519471,176.69829776147
534.304432659868,177.540424669664
538.919822663467,176.08496443133998
533.133225993112,177.88516990932902
537.655650640807,175.441215996018
538.7663154176211,175.204576509335
533.735235398176,176.116028027055
536.599938654214,175.446964273909
532.546418504513,175.90538811804598
535.9740581636071,174.95452221323097
534.742488457166,175.203643662758
533.915048872408,174.50306903476002
538.0534495132509,173.856896128953
536.678778826348,173.2305340935
535.5374378510251,173.00453324284098
534.303967578292,173.120705560053
537.85935983536,172.581407038434
538.772233157533,172.415347210299
536.055164707419,171.354234284898
537.278353922604,171.146647200164
538.55683901955,170.814677005729
535.842063888224,170.306447628033
538.031209357776,183.81195964681598
536.6000127923239,183.124024907604
534.821418393468,182.264058914642
539.104899644635,182.923493436895
535.447140986898,181.51208398111498
539.9993580193469,182.24908461619899
538.0960023860459,181.903621692281
536.911307300853,181.11002385451602
534.657749882384,180.20183104704398
539.001023889281,180.01118259189101
537.5870308689181,180.09876763512798
535.7480930092901,179.459982013372
538.6668104889369,178.447047656693
538.525857627517,177.99833978143099
536.681687320336,178.239108895325
536.2803311508791,177.974127895188
539.3880773585649,189.803260097571
526.844378309307,174.494989160661
528.293361486512,174.411565571844
526.605954573978,173.639891776826
524.811835329305,172.921305129519
527.433886268793,172.59261926842
524.618654469336,171.743958425854
526.0711014356029,171.921916090476
527.0099925766569,171.081320230769
521.185306464049,171.150006492142
524.435082408369,170.801462157715
525.56363151427,170.05868486440002
526.840718567802,170.163605676733
522.497216116658,170.24675306672998
523.996579757119,170.006486762587
521.063722569933,170.009193592721
525.3073434291409,184.69537711082899
523.528529400244,185.086863513334
524.9529402055231,184.08004957772
520.752412369925,183.969832597774
522.5957359311329,183.77843290061
523.975997309514,183.108221608989
526.489212480568,183.003890600542
525.530418191795,182.476470542428
522.389519743132,182.47712929289898
527.445229058517,180.432976234206
526.719244033723,180.831529974915
528.152025621588,180.13566365167
522.3902726997891,181.500608849931
525.835506316605,180.608971210641
525.0216387381049,180.364972260202
523.631017567536,180.33002084531
528.868618943281,179.46089559226598
526.434550722645,179.005946964217
528.711022653296,179.111073694107
529.5617838250561,177.982766059276
528.2185098530659,177.06924953403
527.389855360122,177.05845366678398
529.1216243345391,175.85223521606002
