X,Y,Class,NEA
307783.027421624,-147610.459662066,"7",
304587.47188148,-142663.603220917,"7",
307294.027819396,-128818.091227588,"7",
282389.164357061,-146513.053577995,"7",
290906.855102855,-141748.150477211,"7",
294943.944842183,-136619.340695698,"7",
282207.211016697,-139234.919963432,"7",
275850.216187727,-130694.485050092,"7",
283219.326472473,-131820.321343595,"7",
281149.607225831,-125781.744860262,"7",
288723.415018486,-126748.371980946,"7",
293977.317721499,-131297.205490048,"7",
330965.020192386,-92620.7485789073,"7",
340273.070760386,-93172.2946418859,"7",
340767.756404501,-97505.0585593057,"7",
343895.079442009,-100160.440120244,"7",
348267.645652633,-103546.478063582,"7",
346911.524662732,-109005.078274505,"7",
332648.088590754,-102218.787283113,"7",
330626.700700147,-106338.324629793,"7",
335948.835905796,-108553.037944538,"7",
339411.6354146,-111094.698667748,"7",
343516.957656565,-115279.625496122,"7",
337941.793586972,-119825.615984281,"7",
331931.64731307,-123134.892362153,"7",
327911.615699401,-117008.182229581,"7",
326205.803133488,-132522.547516563,"7",
328059.452788447,-128070.376719529,"7",
334004.209580655,-131518.961123617,"7",
342888.65002812,-131035.647563275,"7",
349026.732244465,-127882.737337279,"7",
350502.26011398,-132056.29208188,"7",
348341.564197156,-137378.427287529,"7",
360833.798221528,-128803.876122872,"7",
359417.97379182,-146845.687028348,"7",
351650.840575028,-147147.047248326,"7",
343781.358604281,-146009.838871051,"7",
337117.317513446,-145668.676357868,"7",
327200.860463604,-139243.449026261,"7",
343963.311944645,-137912.915224849,"7",
324517.048693233,-149796.742767378,"7",
331761.066056479,-151866.46201402,"7",
324403.327855506,-161237.05904277,"7",
325495.04789769,-166968.589264239,"7",
337412.991691538,-168333.23931697,"7",
334956.621596623,-164739.660844779,"7",
335820.899963352,-159735.943984766,"7",
338595.688403904,-152002.927019293,"7",
345191.496992103,-150046.928610379,"7",
350195.213852115,-153458.553742205,"7",
357154.929121041,-154914.180465118,"7",
360066.182566867,-164193.800823687,"7",
345055.031986829,-164057.335818413,"7",
342416.70855155,-170880.586082067,"7",
349740.330501205,-167241.519274785,"7",
356745.534105222,-174019.281203347,"7",
350786.562208298,-179136.718901087,"7",
353151.955633031,-120092.859952941,"7",
356563.580764858,-118728.20990021,"7",
359065.439194864,-123686.438425132,"7",
355016.977371763,-124914.623472589,"7",
354243.675675216,-110722.262924191,"7",
355926.744073584,-104626.826021994,"7",
358565.067508863,-104945.244367631,"7",
363477.807698693,-115316.584768384,"7",
368481.524558706,-111131.65794001,"7",
368345.059553433,-104422.128514084,"7",
364017.981677899,-99833.4927117773,"7",
372023.928653919,-97536.3317896807,"7",
367156.67679918,-130867.909327627,"7",
369078.558956776,-125386.564949159,"7",
369806.372318232,-117653.547983685,"7",
377903.295964434,-116061.456255499,"7",
383589.337850811,-119836.988068054,"7",
385408.871254452,-127115.121682617,"7",
378403.667650435,-130208.328468807,"7",
358548.009383204,-88268.0835148851,"7",
396007.653330661,-162777.976393978,"3",
386426.672752114,-87210.4797240189,"3",
369800.686276346,-174900.617695736,"4",
406566.633113664,-116755.153365637,"4",
394045.96887986,-78783.7656484071,"5",
379671.654991097,-108555.880965481,"5",
406441.540192163,-103654.512859423,"5",
402916.194222609,-128525.260070439,"5",
393727.550534223,-138993.26318326,"5",
406663.295825732,-146299.827007256,"5",
372592.532842557,-146072.385331801,"5",
381849.409033579,-185044.516421033,"5",
400499.626420898,-192891.254224235,"5",
416522.89245671,-176049.198156784,"5",
377300.575524477,-89848.8031592979,"6",
404292.216359112,-74161.0135947818,"6",
383788.349316834,-113508.423448515,"6",
394353.015141723,-114298.783270722,"6",
413833.394644454,-122139.835032037,"6",
380842.97961969,-139442.460492284,"6",
411121.152664651,-159735.943984766,"6",
386944.102563773,-155693.168203552,"6",
385971.789401203,-166860.554468397,"6",
403973.798013475,-180410.392283636,"6",
379688.713116755,-191611.8947998,"6",
398276.384043324,-203086.32732651,"6",
376345.320487565,-77379.3133024716,"7",
396496.652932888,-68497.7158759496,"7",
